feature,importance
pm25_rolling_mean_3h,0.5895638
pm25_rolling_mean_6h,0.113806665
pm25_lag_1h,0.08661292
pm25_rolling_min_3h,0.07317398
time_period_encoded,0.0140680885
pm25_rolling_max_6h,0.010515752
pm25_lag_2h,0.008666783
pm25_rolling_max_3h,0.008524022
hour_sin,0.007849944
dewpoint,0.0064382306
month_sin,0.005468979
hour,0.005248165
is_weekend,0.0041734613
season_encoded,0.0041700364
quarter,0.0040176623
weekofyear,0.003847821
month_cos,0.0038329966
dayofyear,0.0031664656
wind_speed,0.002947449
pm25_rolling_min_6h,0.002787739
pm25_rolling_mean_24h,0.0026214325
pm25_lag_24h,0.002607892
dayofweek,0.0024612083
month,0.0022590214
hour_cos,0.0021483803
pm25_diff_24h,0.0019744101
pm25_rolling_mean_12h,0.0019621826
temp_pressure_ratio,0.0017102673
dayofweek_sin,0.0016462343
pm25_change_vs_24h_ago,0.0016050056
year,0.0014651141
temperature,0.0014359535
pm25_rolling_min_24h,0.001096852
pm25_rolling_max_24h,0.0010575374
pm25_rolling_max_12h,0.0010263033
pm25_rolling_std_24h,0.0010156283
pm25_rolling_min_12h,0.00095535186
pm25_lag_3h,0.0009421604
pm25_rolling_std_12h,0.0009156011
pm25_lag_12h,0.00087385945
pm25_pct_change_1h,0.0008085103
wind_x,0.000801893
pm25_lag_6h,0.00077783543
day,0.000774086
wind_y,0.00076674076
rain_hours,0.0007338536
pm25_rolling_std_6h,0.0007243153
pm25_diff_1h,0.00072037935
pm25_rolling_std_3h,0.00068555307
snow_hours,0.00067519455
dayofweek_cos,0.00066041836
pressure,0.00063405966
wind_dir_degrees,0.00057589245
city_encoded,0.0
